Razón Social_1,Registro Federal de Contribuyentes_2,Primer Apellido_3,Segundo Apellido_4,Nombre (s)_5,CURP_6,Sexo_7,Estado de Nacimiento_8,Titular_9,Otro documento de identificación_10,Clave Municipio donde se paga el beneficio_11,Municipio donde se paga el beneficio_12,Clave Localidad donde se paga el beneficio_13,Localidad donde se paga el beneficio_14,Localidad de residencia actor social_15,Nombre de vialidad actor social_16,Número Exterior actor social_17,Número Interior actor social_18,Código Postal actor social_19,Referencia del domicilio actor social_20,Localidad de residencia del integrante el actor social_21,Nombre de vialidad integrante_22,Número Exterior integrante_23,Número Interior integrante_24,Código Postal integrante_25,Referencia del domicilio integrante_26,Dependencia que opera el programa_27,Clave del programa_28,Clave del subprograma_29,Nombre del programa_30,Tipo de apoyo_31,Beneficio_32,Cantidad de beneficios_33,Total en pesos de los beneficios_34,Inversión federal_35,Inversión estatal_36,Inversión municipal_37,Inversión de otras fuentes_38,Fuentes que fondean el recurso_39,Trimestre_40,Mes de periodo de pago_41,Año de ejercicio_42,Periodicidad de entrega del beneficio_43,Número de la entrega del beneficio_44,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,
